ts,symbol,side,clip_usd,slippage_bps,book_usd_bid,book_usd_ask
2026-08-06T22:00:00.000Z,BNBUSDT,sell,1000000,6.269,12353894,10737036
2026-08-06T22:00:00.000Z,BNBUSDT,sell,5000000,30.724,12353894,10737036
2026-08-06T22:00:00.000Z,BTCUSDT,buy,10000,0.008,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,buy,100000,0.008,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,buy,1000000,0.701,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,buy,5000000,2.271,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,sell,10000,0.008,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,sell,100000,0.008,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,sell,1000000,0.225,52530435,41997161
2026-08-06T22:00:00.000Z,BTCUSDT,sell,5000000,1.726,52530435,41997161
2026-08-06T22:00:00.000Z,DOGEUSDT,buy,10000,0.725,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,buy,100000,1.517,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,buy,1000000,13.027,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,buy,5000000,53.134,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,sell,10000,0.725,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,sell,100000,1.836,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,sell,1000000,9.968,33071897,30770475
2026-08-06T22:00:00.000Z,DOGEUSDT,sell,5000000,46.676,33071897,30770475
2026-08-06T22:00:00.000Z,ETHUSDT,buy,10000,0.026,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,buy,100000,0.126,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,buy,1000000,1.58,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,buy,5000000,4.625,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,sell,10000,0.026,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,sell,100000,0.026,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,sell,1000000,0.226,59706260,52162293
2026-08-06T22:00:00.000Z,ETHUSDT,sell,5000000,3.69,59706260,52162293
2026-08-06T22:00:00.000Z,LINKUSDT,buy,10000,0.78,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,buy,100000,4.814,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,buy,1000000,28.254,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,buy,5000000,124.079,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,sell,10000,0.931,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,sell,100000,3.274,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,sell,1000000,26.493,8264927,6606113
2026-08-06T22:00:00.000Z,LINKUSDT,sell,5000000,109.156,8264927,6606113
2026-08-06T22:00:00.000Z,SOLUSDT,buy,10000,0.688,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,buy,100000,1.642,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,buy,1000000,3.304,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,buy,5000000,11.738,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,sell,10000,0.688,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,sell,100000,0.688,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,sell,1000000,1.646,76365779,68598587
2026-08-06T22:00:00.000Z,SOLUSDT,sell,5000000,9.138,76365779,68598587
2026-08-06T22:00:00.000Z,XRPUSDT,buy,10000,0.482,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,buy,100000,0.61,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,buy,1000000,5,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,buy,5000000,25.669,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,sell,10000,0.482,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,sell,100000,1.149,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,sell,1000000,5.054,38291902,28402120
2026-08-06T22:00:00.000Z,XRPUSDT,sell,5000000,23.957,38291902,28402120
2026-08-06T23:00:00.000Z,ADAUSDT,buy,10000,4.612,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,buy,100000,8.273,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,buy,1000000,33.067,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,buy,5000000,114.201,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,sell,10000,2.496,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,sell,100000,3.411,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,sell,1000000,28.891,15569035,12439060
2026-08-06T23:00:00.000Z,ADAUSDT,sell,5000000,106.778,15569035,12439060
2026-08-06T23:00:00.000Z,BNBUSDT,buy,10000,0.638,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,buy,100000,1.768,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,buy,1000000,8.018,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,buy,5000000,33.492,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,sell,10000,0.084,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,sell,100000,0.731,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,sell,1000000,6.821,12865350,10405148
2026-08-06T23:00:00.000Z,BNBUSDT,sell,5000000,28.588,12865350,10405148
2026-08-06T23:00:00.000Z,BTCUSDT,buy,10000,0.008,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,buy,100000,0.008,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,buy,1000000,0.099,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,buy,5000000,2.048,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,sell,10000,0.008,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,sell,100000,0.008,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,sell,1000000,0.008,51532283,38951039
2026-08-06T23:00:00.000Z,BTCUSDT,sell,5000000,0.721,51532283,38951039
2026-08-06T23:00:00.000Z,DOGEUSDT,buy,10000,0.726,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,buy,100000,0.726,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,buy,1000000,11.882,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,buy,5000000,56.053,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,sell,10000,0.726,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,sell,100000,2.067,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,sell,1000000,10.524,32377577,30367959
2026-08-06T23:00:00.000Z,DOGEUSDT,sell,5000000,46.943,32377577,30367959
2026-08-06T23:00:00.000Z,ETHUSDT,buy,10000,0.026,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,buy,100000,0.194,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,buy,1000000,1.4,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,buy,5000000,4.085,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,sell,10000,0.026,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,sell,100000,0.026,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,sell,1000000,0.543,56663447,51862941
2026-08-06T23:00:00.000Z,ETHUSDT,sell,5000000,4.913,56663447,51862941
2026-08-06T23:00:00.000Z,LINKUSDT,buy,10000,0.836,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,buy,100000,3.988,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,buy,1000000,27.086,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,buy,5000000,127.816,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,sell,10000,0.634,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,sell,100000,4.439,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,sell,1000000,27.792,8318609,6494986
2026-08-06T23:00:00.000Z,LINKUSDT,sell,5000000,106.465,8318609,6494986
2026-08-06T23:00:00.000Z,SOLUSDT,buy,10000,0.691,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,buy,100000,0.691,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,buy,1000000,3.166,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,buy,5000000,10.567,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,sell,10000,0.691,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,sell,100000,0.691,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,sell,1000000,1.6,78051275,68354367
2026-08-06T23:00:00.000Z,SOLUSDT,sell,5000000,8.503,78051275,68354367
2026-08-06T23:00:00.000Z,XRPUSDT,buy,10000,0.484,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,buy,100000,1.123,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,buy,1000000,3.909,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,buy,5000000,25.138,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,sell,10000,0.484,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,sell,100000,0.484,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,sell,1000000,4.82,37723385,28259464
2026-08-06T23:00:00.000Z,XRPUSDT,sell,5000000,24.862,37723385,28259464
2026-08-07T00:00:00.000Z,ADAUSDT,buy,10000,2.476,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,buy,100000,6.304,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,buy,1000000,33.893,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,buy,5000000,111.589,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,sell,10000,2.476,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,sell,100000,8.22,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,sell,1000000,34.455,15842074,12104269
2026-08-07T00:00:00.000Z,ADAUSDT,sell,5000000,108.271,15842074,12104269
2026-08-07T00:00:00.000Z,BNBUSDT,buy,10000,0.084,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,buy,100000,0.999,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,buy,1000000,8.258,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,buy,5000000,33.281,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,sell,10000,0.094,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,sell,100000,1.204,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,sell,1000000,7.057,12568561,10590995
2026-08-07T00:00:00.000Z,BNBUSDT,sell,5000000,29.317,12568561,10590995
2026-08-07T00:00:00.000Z,BTCUSDT,buy,10000,0.008,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,buy,100000,0.008,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,buy,1000000,0.566,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,buy,5000000,2.103,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,sell,10000,0.008,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,sell,100000,0.008,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,sell,1000000,0.054,40583415,38670240
2026-08-07T00:00:00.000Z,BTCUSDT,sell,5000000,1.246,40583415,38670240
2026-08-07T00:00:00.000Z,DOGEUSDT,buy,10000,0.723,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,buy,100000,1.577,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,buy,1000000,12.2,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,buy,5000000,44.78,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,sell,10000,1.514,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,sell,100000,3.573,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,sell,1000000,13.544,32106846,32021177
2026-08-07T00:00:00.000Z,DOGEUSDT,sell,5000000,46.745,32106846,32021177
2026-08-07T00:00:00.000Z,ETHUSDT,buy,10000,0.026,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,buy,100000,0.026,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,buy,1000000,0.959,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,buy,5000000,3.819,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,sell,10000,0.026,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,sell,100000,0.074,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,sell,1000000,1.345,58359710,50855292
2026-08-07T00:00:00.000Z,ETHUSDT,sell,5000000,5.105,58359710,50855292
2026-08-07T00:00:00.000Z,LINKUSDT,buy,10000,0.885,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,buy,100000,4.017,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,buy,1000000,26.299,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,buy,5000000,130.11,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,sell,10000,2.172,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,sell,100000,5.351,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,sell,1000000,27.725,8541432,6407130
2026-08-07T00:00:00.000Z,LINKUSDT,sell,5000000,108.31,8541432,6407130
2026-08-07T00:00:00.000Z,SOLUSDT,buy,10000,0.689,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,buy,100000,0.689,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,buy,1000000,2.826,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,buy,5000000,10.345,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,sell,10000,0.689,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,sell,100000,0.689,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,sell,1000000,3.085,72712524,69699712
2026-08-07T00:00:00.000Z,SOLUSDT,sell,5000000,11.648,72712524,69699712
2026-08-07T00:00:00.000Z,XRPUSDT,buy,10000,0.483,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,buy,100000,0.754,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,buy,1000000,4.586,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,buy,5000000,24.887,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,sell,10000,0.483,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,sell,100000,1.168,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,sell,1000000,5.856,37655191,28772191
2026-08-07T00:00:00.000Z,XRPUSDT,sell,5000000,24.411,37655191,28772191
2026-08-07T01:00:00.000Z,ADAUSDT,buy,10000,2.498,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,buy,100000,6.438,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,buy,1000000,34.431,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,buy,5000000,121.964,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,sell,10000,2.498,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,sell,100000,4.791,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,sell,1000000,29.544,15544679,12324014
2026-08-07T01:00:00.000Z,ADAUSDT,sell,5000000,98.442,15544679,12324014
2026-08-07T01:00:00.000Z,BNBUSDT,buy,10000,0.084,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,buy,100000,1.14,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,buy,1000000,6.735,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,buy,5000000,30.875,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,sell,10000,0.23,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,sell,100000,0.942,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,sell,1000000,7.25,12217852,10885671
2026-08-07T01:00:00.000Z,BNBUSDT,sell,5000000,30.574,12217852,10885671
2026-08-07T01:00:00.000Z,BTCUSDT,buy,10000,0.008,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,buy,100000,0.008,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,buy,1000000,0.601,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,buy,5000000,2.138,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,sell,10000,0.008,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,sell,100000,0.008,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,sell,1000000,0.581,37337540,45258933
2026-08-07T01:00:00.000Z,BTCUSDT,sell,5000000,2.401,37337540,45258933
2026-08-07T01:00:00.000Z,DOGEUSDT,buy,10000,0.722,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,buy,100000,2.194,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,buy,1000000,12.961,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,buy,5000000,46.59,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,sell,10000,0.722,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,sell,100000,1.925,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,sell,1000000,9.277,32081746,31195307
2026-08-07T01:00:00.000Z,DOGEUSDT,sell,5000000,47.42,32081746,31195307
2026-08-07T01:00:00.000Z,ETHUSDT,buy,10000,0.026,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,buy,100000,0.026,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,buy,1000000,0.781,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,buy,5000000,3.49,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,sell,10000,0.026,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,sell,100000,0.606,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,sell,1000000,1.857,53742064,54611068
2026-08-07T01:00:00.000Z,ETHUSDT,sell,5000000,6.342,53742064,54611068
2026-08-07T01:00:00.000Z,LINKUSDT,buy,10000,0.607,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,buy,100000,3.726,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,buy,1000000,26.322,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,buy,5000000,125.318,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,sell,10000,2.428,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,sell,100000,5.33,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,sell,1000000,30.98,8356673,6237887
2026-08-07T01:00:00.000Z,LINKUSDT,sell,5000000,127.454,8356673,6237887
2026-08-07T01:00:00.000Z,SOLUSDT,buy,10000,0.688,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,buy,100000,0.688,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,buy,1000000,2.934,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,buy,5000000,13.139,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,sell,10000,0.688,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,sell,100000,0.725,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,sell,1000000,3.082,79942199,69355707
2026-08-07T01:00:00.000Z,SOLUSDT,sell,5000000,10.295,79942199,69355707
2026-08-07T01:00:00.000Z,XRPUSDT,buy,10000,0.482,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,buy,100000,1.169,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,buy,1000000,6.537,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,buy,5000000,27.912,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,sell,10000,0.482,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,sell,100000,1.031,37935353,28372415
2026-08-07T01:00:00.000Z,XRPUSDT,sell,1000000,4.191,37935353,28372415
